Departments
All
Central Board of Direct Taxes (Income Tax)
Central Board of Indirect Taxes and Customs
Department for Promotion of Industry and Internal Trade
Department of Administrative Reforms and Public Grievances
Department of Agriculture and Farmers Welfare
Department of Agriculture Research and Education
"Department of Animal Husbandry, Dairying"
Department of Atomic Energy
Department of Bio Technology
Department of Chemicals and Petrochemicals
Department of Commerce
Department of Consumer Affairs
Department of Defence Finance
Department of Defence Production
Department of Defence Research and Development
Department of Economic Affairs ACC Division
Department of Empowerment of Persons with Disabilities
Department of Ex Servicemen Welfare
Department of Expenditure
Department of Fertilizers
Department of Financial Services (Banking Division)
Department of Financial Services (Insurance Division)
Department of Financial Services (Pension Reforms)
Department of Fisheries
Department of Food and Public Distribution
Department of Health & Family Welfare
Department of Health Research
Department of Heavy Industry
Department of Higher Education
Department of Investment & Public Asset Management
Department of Justice
Department of Land Resources
Department of Military Affairs
Department of Official Language
Department of Pension and Pensioners Welfare
Department of Personnel and Training
Department of Pharmaceuticals
Department of Posts
Department of Revenue
Department of Rural Development
Department of School Education and Literacy
Department of Science and Technology
Department of Scientific & Industrial Research
Department of Social Justice and Empowerment
Department of Space
Department of Sports
Department of Telecommunications
Department of Youth Affairs
Legislative Department
Ministry of Ayush
Ministry of Civil Aviation
Ministry of Cooperation
Ministry of Corporate Affairs
Ministry of Culture
Ministry of Development of North Eastern Region
Ministry of Drinking Water and Sanitation
Ministry of Earth Sciences
Ministry of Electronics & Information Technology
"Ministry of Environment, Forest and Climate Change"
Ministry of External Affairs
Ministry of Food Processing Industries
Ministry of Home Affairs
Ministry of Housing and Urban Affairs
Ministry of Information and Broadcasting
Ministry of Labour and Employment
Ministry of Micro Small and Medium Enterprises
Ministry of Minority Affairs
Ministry of New and Renewable Energy
Ministry of Panchayati Raj
Ministry of Parliamentary Affairs
Ministry of Petroleum and Natural Gas
Ministry of Power
Ministry of Railways ( Railway Board)
Ministry of Road Transport and Highways
Ministry of Skill Development and Entrepreneurship
Ministry of Statistics and Programme Implementation
Ministry of Steel
Ministry of Textiles
Ministry of Tourism
Ministry of Tribal Affairs
"Ministry of Water Resources, River Development & Ganga Rejuvenation"
Ministry of Women and Child Development
NITI Aayog
O/o the Comptroller & Auditor General of India
Securities and Exchange Board of India
Staff Selection Commission
Unique Identification Authority of India
